run_id,baseline,cache_outcome,query_id,gt_score,gt_method,latency_s,cost_usd,input_tokens,output_tokens,executed,rejected,judge_verdict,stages_run,execution_path,plan_validation_stage_failed,plan_source,operators_used,ff_planner_used,ff_planner_latency_s,ff_planner_input_tokens,ff_planner_output_tokens,ff_planner_cost_usd,guardrail_latency_s,cache_lookup_latency_s,cache_grounding_latency_s,cache_validation_latency_s,cache_rejection_latency_s,cache_retry_overhead_s,typed_exec_latency_s,agent_latency_s,guardrail_latency_ms,cache_lookup_latency_ms,cache_grounding_latency_ms,cache_validation_latency_ms,cache_rejection_latency_ms,cache_retry_overhead_ms,typed_exec_latency_ms,agent_latency_ms,dataset,complexity,query_type,total_tokens
1,FF_NO_PLANNING,not_applicable,1,1.0,llm_judge_score,3.317063808441162,0.00094236,8712,83,True,False,,"guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"FILTER_IN,AGGREGATE_COLUMN",True,3.3141472339630127,8712,83,0.00094236,3.314154148101806,0.0,0.0,0.0,0.0,0.0,0.0021088123321533,0.0,3314.154148101806,0.0,0.0,0.0,0.0,0.0,2.1088123321533203,0.0,wisdm,direct,direct,8795.0
1,FF_NO_PLANNING,not_applicable,2,1.0,llm_judge_score,2.7223150730133057,0.000909,8707,70,True,False,,"guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"FILTER_IN,COUNT_DISTINCT",True,2.6753008365631104,8707,70,0.000909,2.6753318309783936,0.0,0.0,0.0,0.0,0.0,0.0466151237487793,0.0,2675.3318309783936,0.0,0.0,0.0,0.0,0.0,46.6151237487793,0.0,wisdm,direct,direct,8777.0
1,FF_NO_PLANNING,not_applicable,3,1.0,llm_judge_score,3.6234750747680664,0.00095492,8715,106,True,False,,"guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"FILTER_IN,FILTER_IN,AGGREGATE_COLUMN",True,3.616028070449829,8715,106,0.00095492,3.616058111190796,0.0,0.0,0.0,0.0,0.0,0.0066370964050292,0.0,3616.058111190796,0.0,0.0,0.0,0.0,0.0,6.637096405029297,0.0,wisdm,direct,direct,8821.0
1,FF_NO_PLANNING,not_applicable,4,1.0,llm_judge_score,7.258112907409668,0.00099336,9064,98,True,False,,"guardrail_plan,react_fallback,agent",react_fallback,schema,llm,,True,3.5483388900756836,8710,84,0.00091688,3.5483639240264893,0.0,0.0,0.0,0.0,0.0,0.0,3.7076752185821538,3548.3639240264893,0.0,0.0,0.0,0.0,0.0,0.0,3707.675218582154,wisdm,direct,direct,9162.0
1,FF_NO_PLANNING,not_applicable,5,1.0,llm_judge_score,7.215767860412598,0.00098112,8727,201,True,False,,"guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"DERIVE_VECTOR_MAGNITUDE,SPLIT_BY_VALUES,SPLIT_BY_VALUES,AGGREGATE_PARTITIONS,COMPARE_PARTITIONS",True,7.136415958404541,8727,201,0.00098112,7.136446952819824,0.0,0.0,0.0,0.0,0.0,0.0786139965057373,0.0,7136.446952819824,0.0,0.0,0.0,0.0,0.0,78.6139965057373,0.0,wisdm,intermediate,reasoning,8928.0
1,FF_NO_PLANNING,not_applicable,6,1.0,llm_judge_score,8.153918981552124,0.00104552,8737,321,True,False,,"guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"DERIVE_DURATION_SECONDS,PARALLEL_AGGREGATE,DERIVE_BINARY,FILTER_COMPARE,RANK_ROWS",True,7.807171106338501,8737,321,0.00104552,7.807199954986572,0.0,0.0,0.0,0.0,0.0,0.345684289932251,0.0,7807.199954986572,0.0,0.0,0.0,0.0,0.0,345.684289932251,0.0,wisdm,intermediate,reasoning,9058.0
1,FF_NO_PLANNING,not_applicable,7,1.0,llm_judge_score,3.947767972946167,0.00094316,8714,133,True,False,,"guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"FILTER_IN,FILTER_IN,DERIVE_VECTOR_MAGNITUDE,AGGREGATE_COLUMN",True,3.9332122802734375,8714,133,0.00094316,3.933235883712769,0.0,0.0,0.0,0.0,0.0,0.0139479637145996,0.0,3933.235883712769,0.0,0.0,0.0,0.0,0.0,13.94796371459961,0.0,wisdm,intermediate,reasoning,8847.0
1,FF_NO_PLANNING,not_applicable,8,1.0,llm_judge_score,4.684535026550293,0.00095416,8717,153,True,False,,"guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"SPLIT_BY_VALUES,SPLIT_BY_VALUES,AGGREGATE_PARTITIONS,COMPARE_PARTITIONS",True,4.66100287437439,8717,153,0.00095416,4.661010980606079,0.0,0.0,0.0,0.0,0.0,0.0232672691345214,0.0,4661.010980606079,0.0,0.0,0.0,0.0,0.0,23.267269134521484,0.0,wisdm,intermediate,reasoning,8870.0
1,FF_NO_PLANNING,not_applicable,9,1.0,guardrail_skip_expected_rejection,4.549092054367065,0.00088144,8696,37,False,True,,guardrail_plan,guardrail_reject,,llm,,True,4.548896074295044,8696,37,0.00088144,4.54891300201416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4548.91300201416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wisdm,out_of_scope,oos,8733.0
1,FF_NO_PLANNING,not_applicable,10,1.0,guardrail_skip_expected_rejection,2.183112859725952,0.00089884,8716,47,False,True,,guardrail_plan,guardrail_reject,,llm,,True,2.1827590465545654,8716,47,0.00089884,2.182789087295532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2182.789087295532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wisdm,out_of_scope,oos,8763.0
