run_id,baseline,gt_score,latency_s,cost_usd,input_tokens,output_tokens
1,FF_FULL,0.85,9.553979742527009,0.0016277926499999999,3462.0,228.55
1,FF_NO_CACHE,0.9,7.291200041770935,0.0015663297,4470.8,191.85
1,FF_NO_PROMPT,0.6,7.259882390499115,0.00150390825,1494.5,227.35
1,FF_NO_PRUNE,0.85,7.000396502017975,0.0017318340000000002,9133.45,186.25
2,FF_FULL,0.8,9.822253274917603,0.00163442515,3463.55,229.1
2,FF_NO_CACHE,0.9,7.574626243114471,0.00191134515,4470.8,192.95
2,FF_NO_PROMPT,0.6,9.005523300170898,0.0015327507,1463.85,215.05
2,FF_NO_PRUNE,0.8,7.635588526725769,0.0017890469999999998,9157.8,196.05
3,FF_FULL,0.85,9.471848845481873,0.0016284576500000003,3463.55,228.25
3,FF_NO_CACHE,0.9,7.451923286914825,0.0015674997,4470.8,192.15
3,FF_NO_PROMPT,0.6,7.670151507854461,0.0015491092500000002,1517.95,234.25
3,FF_NO_PRUNE,0.85,7.623535072803497,0.0017984070000000001,9157.8,198.45
