run_id,baseline,cache_outcome,query_id,gt_score,gt_method,latency_s,cost_usd,input_tokens,output_tokens,executed,rejected,judge_verdict,stages_run,execution_path,plan_validation_stage_failed,plan_source,operators_used,ff_planner_used,ff_planner_latency_s,ff_planner_input_tokens,ff_planner_output_tokens,ff_planner_cost_usd,guardrail_latency_s,cache_lookup_latency_s,cache_grounding_latency_s,cache_validation_latency_s,cache_rejection_latency_s,cache_retry_overhead_s,typed_exec_latency_s,agent_latency_s,guardrail_latency_ms,cache_lookup_latency_ms,cache_grounding_latency_ms,cache_validation_latency_ms,cache_rejection_latency_ms,cache_retry_overhead_ms,typed_exec_latency_ms,agent_latency_ms
1,REACT_ONLY,not_applicable,17,0.0,llm_judge_score,14.416960000991821,0.00171444,2622,120,True,False,N/A,react_agent,react_agent,,,,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,REACT_ONLY,not_applicable,18,1.0,llm_judge_score,8.135714054107666,0.00153972,1314,132,True,False,N/A,react_agent,react_agent,,,,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,REACT_ONLY,not_applicable,19,1.0,llm_judge_score,8.742294788360596,0.00160602,1314,149,True,False,N/A,react_agent,react_agent,,,,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,REACT_ONLY,not_applicable,20,0.0,llm_judge_score,8.636882066726685,0.0015171,1310,127,True,False,N/A,react_agent,react_agent,,,,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,REACT_ONLY,not_applicable,17,0.0,llm_judge_score,13.665921211242676,0.00095862,2622,131,True,False,N/A,react_agent,react_agent,,,,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,REACT_ONLY,not_applicable,18,1.0,llm_judge_score,8.13400912284851,0.0008229,1314,153,True,False,N/A,react_agent,react_agent,,,,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,REACT_ONLY,not_applicable,19,1.0,llm_judge_score,8.692821979522705,0.0008073,1314,149,True,False,N/A,react_agent,react_agent,,,,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,REACT_ONLY,not_applicable,20,0.0,llm_judge_score,16.255512952804565,0.0014469,2658,249,True,False,N/A,react_agent,react_agent,,,,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,REACT_ONLY,not_applicable,17,0.0,llm_judge_score,13.96855902671814,0.00098592,2622,138,True,False,N/A,react_agent,react_agent,,,,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,REACT_ONLY,not_applicable,18,1.0,llm_judge_score,8.129822015762329,0.0008112,1314,150,True,False,N/A,react_agent,react_agent,,,,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,REACT_ONLY,not_applicable,19,1.0,llm_judge_score,8.135231971740723,0.00078,1314,142,True,False,N/A,react_agent,react_agent,,,,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,REACT_ONLY,not_applicable,20,0.0,llm_judge_score,8.181504011154175,0.00071838,1310,127,True,False,N/A,react_agent,react_agent,,,,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
